,Unnamed: 0,alagou
0,1,False
1,2,False
2,3,True
3,4,False
4,5,False
5,6,False
6,7,True
7,8,False
8,9,False
9,10,False
10,11,False
11,12,True
12,13,False
13,14,False
14,15,True
15,16,False
16,17,True
17,18,False
18,19,False
19,20,True
20,21,False
21,22,False
22,23,False
23,24,False
24,25,True
25,26,False
26,27,False
27,28,True
28,29,False
29,30,True
30,31,True
31,32,False
32,33,True
33,34,False
34,35,False
35,36,False
36,37,False
37,38,False
38,39,False
39,40,False
40,41,False
41,42,False
42,43,True
43,44,True
44,45,True
45,46,True
46,47,False
47,48,False
48,49,True
49,50,False
50,51,False
51,52,False
52,53,False
53,54,True
54,55,True
55,56,True
56,57,False
57,58,False
58,59,True
59,60,False
60,61,False
61,62,True
62,63,False
63,64,False
64,65,True
65,66,False
66,67,False
67,68,True
68,69,False
69,70,True
70,71,True
71,72,False
72,73,False
73,74,False
74,75,False
75,76,False
76,77,True
77,78,False
78,79,False
79,80,True
80,81,True
81,82,False
82,83,False
83,84,False
84,85,False
85,86,False
86,87,False
87,88,False
88,89,False
89,90,False
90,91,False
91,92,False
92,93,False
93,94,True
94,95,False
95,96,False
